


############Artifacts############

##slots
head;Head;;;;;;;;;;;;;x
shield;Shield;;;;;;;;;;;;;x



##Christian
iron_crown_of_lombardy_modifier;Will always remain with the King or Emperor of §YItaly§! unless it is a subject of the §YHoly Roman Empire§! or does not exist;;;;;;;;;;;;;x
crown_of_thorns_activation;Must have at least one virtue and no sins;;;;;;;;;;;;;x



##Muslim

##Jewish

hezekiahs_hammer;Hezekiah's Hammer;;;;;;;;;;;;;x
hezekiahs_hammer_desc;The hammer used by Hezekiah, the 13th King of Judea, to banish paganism from his realm.;;;;;;;;;;;;;x
menorah;The Menorah;;;;;;;;;;;;;x
menorah_desc;This seven-branched candelabrum is one of the oldest symbols of the Jewish faith since the foundation of the first temple.;;;;;;;;;;;;;x 
maccabean_shield;Maccabean Shield;;;;;;;;;;;;;x
maccabean_shield_desc;A shield used by the Maccabean leaders of the Selucid revolt in Judea.;;;;;;;;;;;;;x
himyarite_mask;Himyarite Mask;;;;;;;;;;;;;x
himyarite_mask_desc;Abu Karab was the Himyarite king of Yemen and one of the first of several kings of Arabia to convert to Judaism.;;;;;;;;;;;;;x
priestly_breastplate;Priestly Breastplate;;;;;;;;;;;;;x
priestly_breastplate_desc;A Sacred breastplate worn only by the High Priest of the Israelites, the stones were used to determine God's will in a particular situation.;;;;;;;;;;;;;x
priestly_breastplate_modifier;The Jewish Priesthood will be §Rfurious§! if this is worn by someone other than the Religious Head;;;;;;;;;;;;;x
brass_snake;Brass Snake;;;;;;;;;;;;;x
brass_snake_desc;Believed to possess great healing powers, this broken brass figurine traces its origins back to the old heresies of Judea.;;;;;;;;;;;;;x

##Zoroastrian

##Germanic
andvaranaut_modifier;Will create §Ygold§! every two years for a §Rprice§!;;;;;;;;;;;;;x

gungnir;Gungnir;;;;;;;;;;;;;x
gungnir_desc;The legendary spear of Odin. Appeared during his champion's time of need.;;;;;;;;;;;;;x
gungnir_modifier;A Germanic army will rally to the wielder when declaring war on other §Yreligions§!;;;;;;;;;;;;;x
odins_eye;Odin's Eye;;;;;;;;;;;;;x
odins_eye_desc;A small orb recieved from the Allfather. Has the power to reveal both the known and unknown.;;;;;;;;;;;;;x
odins_eye_modifier;§YGaze into the Eye§! if you wish to unravel the secrets of the universe;;;;;;;;;;;;;x
gleipnir;Gleipnir;;;;;;;;;;;;;x
gleipnir_desc;The silken chains of the great wolf Fenrir. Now ruined and in tatters, yet still stronger than any mortal chains.;;;;;;;;;;;;;x
jarngreipr;Jarngreipr;;;;;;;;;;;;;x
jarngreipr_desc;The gauntlet of Thor, with which he holds mighty Mjolnir and is one of his three crucial possessions.;;;;;;;;;;;;;x
fafnirs_scale;Fafnir's Scale;;;;;;;;;;;;;x
fafnirs_scale_desc;One of the Cursed Dragon's scales. Despite being decayed, it is stronger than the strongest steel.;;;;;;;;;;;;;x
braggis_harp;Braggi's Harp;;;;;;;;;;;;;x
braggis_harp_desc;Braggi was one of the most skilled Skalds to have ever existed. The tunes played on his harp can charm even the vilest of people.;;;;;;;;;;;;;x
brisingamen;Brisingamen;;;;;;;;;;;;;x
brisingamen_desc;The necklace of Freyja, the goddess of love and fertility.;;;;;;;;;;;;;x
tarnkappe;Tarnkappe;;;;;;;;;;;;;x
tarnkappe_desc;The fabled cloak of invisibility. Wearing it renders the user completely invisible, that is if you can find the cloak first.;;;;;;;;;;;;;x
huginns_feather;Huginn's Feather;;;;;;;;;;;;;x
huginns_feather_desc;The feather of one of Odin's twin ravens. They fly daily across the entire world then tell the Allfather all they have seen.;;;;;;;;;;;;;x
muninns_feather;Muninn's Feather;;;;;;;;;;;;;x
muninns_feather_desc;The feather of one of Odin's twin ravens. Although Odin feared for both of their safety, he feared more for Munnin.;;;;;;;;;;;;;x
slayers_skull;[From.OriginalOwner.GetTitledFirstName]'s Skull;;;;;;;;;;;;;x
slayers_skull_desc;All that remains of [From.OriginalOwner.GetBestName] as [From.OriginalOwner.GetSheHe] attempted to slay mighty Fenrir.\n§RThis artifact will always be destroyed on death!§!;;;;;;;;;;;;;x


##West African

jaguar_spear;Ritual Hunting Spear;;;;;;;;;;;;;x
jaguar_spear_desc;A tribal spear that is given to the fiercest and most accomplished hunter.;;;;;;;;;;;;;x
djembe;Djembe;;;;;;;;;;;;;x
djembe_desc;A traditional drum to spread merriment to those who hear it, requires some skill to actually be effective.;;;;;;;;;;;;;x 
dan_mask;Dan Mask;;;;;;;;;;;;;x
dan_mask_desc;Dan masks are used for protection and as a channel for communication with the spirit world.;;;;;;;;;;;;;x 
ashanti_doll;Ashanti Doll;;;;;;;;;;;;;x
ashanti_doll_desc;Legend has it that the bearer of these fertility dolls will give birth to beautiful children.\n§RThis artifact will always be destroyed on death!§!;;;;;;;;;;;;;x 
ashanti_doll_modifier;Children have a §Y15%§! chance to gain the §GAttractive§! trait when born;;;;;;;;;;;;;x
herbal_medicine;Herbal Medicine;;;;;;;;;;;;;x
herbal_medicine_desc;A pouch filled with various medicinal herbs.\n§RThis artifact will always be destroyed on death!§!;;;;;;;;;;;;;x 



##Finnish/Soume
ukonvasara;Ukonvasara;;;;;;;;;;;;;x
ukonvasara_desc;The Hammer of Ukko the God of Thunder. This large hammer can easily crush a man with its weight.;;;;;;;;;;;;;x
sampo_fragment;Sampo fragment;;;;;;;;;;;;;x
sampo_fragment_desc;One of the nine pieces of the Legendary Sampo, it's power remains dormant.;;;;;;;;;;;;;x
vipunens_magic_scroll;Vipunen's Magic Scroll;;;;;;;;;;;;;x
vipunens_magic_scroll_desc;Antero Vipunen is a giant with considerable knowledge and spells and this is one of his scrolls. The nature of these spells require a great mind to decipher.;;;;;;;;;;;;;x
vainamoinens_harp;Vainamoinen's Harp;;;;;;;;;;;;;x
vainamoinens_harp_desc;The hero Vainamoinen fashioned this harp from a pike he killed at sea, plays a bewitching melody;;;;;;;;;;;;;x
kalevanmiekka;Kalevanmiekka;;;;;;;;;;;;;x
