#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
aghbanian;Aghbanian;;;;;;;;;;;;;x
akan;Akan;;;;;;;;;;;;;x
alan;Alan;;;;;;;;;;;;;x
altaic;Altaic;;;;;;;;;;;;;x
amaravi;Amaravi;;;;;;;;;;;;;x
ambundu;Ambundu;;;;;;;;;;;;;x
andalusian_arabic;Andalusian;;;;;;;;;;;;;x
arabic;Semitic;;;;;;;;;;;;;x
armenian;Armenian;;;;;;;;;;;;;x
avar;Avar;;;;;;;;;;;;;x
ba_shu;Ba-Shu;;;;;;;;;;;;;x
baltic;Baltic;;;;;;;;;;;;;x
bantu;Bantu;;;;;;;;;;;;;x
basque;Basque;;;;;;;;;;;;;x
bavarian;Bavarian;;;;;;;;;;;;;x
bedouin_arabic;Bedouin;;;;;;;;;;;;;x
bemba;Bemba;;;;;;;;;;;;;x
bengali;Bengali;;;;;;;;;;;;;x
berber;Berber;;;;;;;;;;;;;x
berberic;Berberic;;;;;;;;;;;;;x
bodpa;Tibetan;;;;;;;;;;;;;x
bohemian;Bohemian;;;;;;;;;;;;;x
bosnian;Bosnian;;;;;;;;;;;;;x
breton;Breton;;;;;;;;;;;;;x
brython;Briton;;;;;;;;;;;;;x
bulgar;Bulgar;;;;;;;;;;;;;x
bulgarian;Bulgarian;;;;;;;;;;;;;x
burgundian;Burgundian;;;;;;;;;;;;;x
byzantine;Hellenic;;;;;;;;;;;;;x
catalan;Catalan;;;;;;;;;;;;;x
caucasian;Caucasian;;;;;;;;;;;;;x
celtic;Celtic;;;;;;;;;;;;;x
central_germanic;Central Germanic;;;;;;;;;;;;;x
chinese;Sinitic;;;;;;;;;;;;;x
chokwe;Chokwe;;;;;;;;;;;;;x
congo_nigerian;Congo-Nigerian;;;;;;;;;;;;;x
croatian;Croatian;;;;;;;;;;;;;x
cuman;Cuman;;;;;;;;;;;;;x
dacian;Dacian;;;;;;;;;;;;;x
danish;Danish;;;;;;;;;;;;;x
dienviet;Vietnamese;;;;;;;;;;;;;x
dravidian;Dravidian;;;;;;;;;;;;;x
dutch;Dutch;;;;;;;;;;;;;x
east_slavic;East Slavic;;;;;;;;;;;;;x
egyptian_arabic;Egyptian;;;;;;;;;;;;;x
ethiopian;Ethiopian;;;;;;;;;;;;;x
ethiopic;Ethiopic;;;;;;;;;;;;;x
fang;Fang;;;;;;;;;;;;;x
finnish;Finnish;;;;;;;;;;;;;x
finno_ugric;Finno-Ugric;;;;;;;;;;;;;x
fipa;Fipa;;;;;;;;;;;;;x
frankish;Frankish;;;;;;;;;;;;;x
frisian;Frisian;;;;;;;;;;;;;x
fula;Fula;;;;;;;;;;;;;x
fur;Fur;;;;;;;;;;;;;x
galatian;Galatian;;;;;;;;;;;;;x
galloroman;Gallo-Roman;;;;;;;;;;;;;x
gan;Gan;;;;;;;;;;;;;x
gandharan;Gandharan;;;;;;;;;;;;;x
gbaya;Gbaya;;;;;;;;;;;;;x
geat;Geatish;;;;;;;;;;;;;x
georgian;Georgian;;;;;;;;;;;;;x
german;German;;;;;;;;;;;;;x
greek;Rhomaion;;;;;;;;;;;;;x
guanchinet;Guanche;;;;;;;;;;;;;x
guangzhong;Guangzhong;;;;;;;;;;;;;x
hakka;Hakka;;;;;;;;;;;;;x
han;Guanzhong;;;;;;;;;;;;;x
hellenistic;Hellenistic;;;;;;;;;;;;;x
herero;Herero;;;;;;;;;;;;;x
hindavi;Hindustani;;;;;;;;;;;;;x
huakyo;Huakyo;Huakyo;Huakyo;;Huakyo;;;;;;;;;x
hui;Hui;;;;;;;;;;;;;x
hungarian;Hungarian;;;;;;;;;;;;;x
hunnic;Hunnic;;;;;;;;;;;;;x
hutu;Hutu;;;;;;;;;;;;;x
iberian;Iberian;;;;;;;;;;;;;x
icelandic;Icelandic;;;;;;;;;;;;;x
ila_tonga;Ila-Tonga;;;;;;;;;;;;;x
indoaryan;Indo-Aryan;;;;;;;;;;;;;x
indohellenic;Indohellenic;;;;;;;;;;;;;x
iranian;Iranian;;;;;;;;;;;;;x
irish;Irish;;;;;;;;;;;;;x
italian;Italian;;;;;;;;;;;;;x
ji_li;Ji-Lu;;;;;;;;;;;;;x
jiang_huai;Jiang-Huai;;;;;;;;;;;;;x
jiao_liao;Jiao-Liao;;;;;;;;;;;;;x
jin;Jin;;;;;;;;;;;;;x
kannada;Kannada;;;;;;;;;;;;;x
khazar;Khazar;;;;;;;;;;;;;x
khrysean;Khrysean;;;;;;;;;;;;;x
komi;Komi;;;;;;;;;;;;;x
kongolese;Kongolese;;;;;;;;;;;;;x
kuba;Kuba;;;;;;;;;;;;;x
kurdish;Kurdish;;;;;;;;;;;;;x
lanyin;Lanyin;;;;;;;;;;;;;x
lappish;Lappish;;;;;;;;;;;;;x
latin;Latin;;;;;;;;;;;;;x
lettigallish;Lettigallish;;;;;;;;;;;;;x
levantine_arabic;Assyrian;;;;;;;;;;;;;x
lithuanian;Lithuanian;;;;;;;;;;;;;x
lombard;Lombard;;;;;;;;;;;;;x
luba;Luba;;;;;;;;;;;;;x
lunda;Lunda;;;;;;;;;;;;;x
luo;Luo;;;;;;;;;;;;;x
lusitanian;Lusitanian;;;;;;;;;;;;;x
macrobian;Macrobian;;;;;;;;;;;;;x
maghada;Maghada;;;;;;;;;;;;;x
maghreb_arabic;Maghrebi;;;;;;;;;;;;;x
makonde;Makonde;;;;;;;;;;;;;x
mandinka;Mandinka;;;;;;;;;;;;;x
marathi;Marathi;;;;;;;;;;;;;x
mesoamerican;Mesoamerican;;;;;;;;;;;;;x
minyue;Minyue;;;;;;;;;;;;;x
mongo;Mongo;;;;;;;;;;;;;x
muganda;Baganda;;;;;;;;;;;;;x
nabatean;Nabatean;;;;;;;;;;;;;x
nahua;Toltec;;;;;;;;;;;;;x
nanwu;Nanwu;;;;;;;;;;;;;x
nanyue;Nanyue;;;;;;;;;;;;;x
nenets;Samoyeds;;;;;;;;;;;;;x
nihonohellenic;Nihonohellenic;;;;;;;;;;;;;x
nilo_saharan;Nilo-Saharan;;;;;;;;;;;;;x
norman;Norman;;;;;;;;;;;;;x
norsegael;Norse-Gaelic;;;;;;;;;;;;;x
north_germanic;North Germanic;;;;;;;;;;;;;x
norwegian;Norse;;;;;;;;;;;;;x
nubian;Nubian;;;;;;;;;;;;;x
occitan;Occitan;;;;;;;;;;;;;x
ostrogothic;Ostrogothic;;;;;;;;;;;;;x
ou;Ou;;;;;;;;;;;;;x
parthian;Parthian;;;;;;;;;;;;;x
pecheneg;Pecheneg;;;;;;;;;;;;;x
persian;Persian;;;;;;;;;;;;;x
phoenician;Phoenician;;;;;;;;;;;;;x
pictish;Pictish;;;;;;;;;;;;;x
polabian;Polaban;;;;;;;;;;;;;x
polish;Polish;;;;;;;;;;;;;x
pommeranian;Pommeranian;;;;;;;;;;;;;x
prussian;Prussian;;;;;;;;;;;;;x
qartwalasht;Qartwalasht;;;;;;;;;;;;;x
qiong_lei;Qiong-Lei;;;;;;;;;;;;;x
roman;Roman;;;;;;;;;;;;;x
romanian;Vlach;;;;;;;;;;;;;x
romanobrython;Romano-Briton;;;;;;;;;;;;;x
romanogothic;Romano-Gothic;;;;;;;;;;;;;x
romanokoric;Romanokoric;Romanokoric;Romanokoric;;Romanokoric;;;;;;;;;x
russian;Russian;;;;;;;;;;;;;x
sabaean;Sabaean;;;;;;;;;;;;;x
saka;Saka;;;;;;;;;;;;;x
sao;Sao;;;;;;;;;;;;;x
saqaliba;Saqaliba;;;;;;;;;;;;;x
sarmatian;Sarmatian;;;;;;;;;;;;;x
sarmatobrython;Sarmato-Briton;;;;;;;;;;;;;x
saurashtra;Saurashtra;;;;;;;;;;;;;x
sawabantu;Sawabantu;;;;;;;;;;;;;x
saxon;Saxon;;;;;;;;;;;;;x
scottish;Scottish;;;;;;;;;;;;;x
serbian;Serbian;;;;;;;;;;;;;x
serer;Soninke;;;;;;;;;;;;;x
shangjiang;Shangjiang;;;;;;;;;;;;;x
shanyue;Shanyue;;;;;;;;;;;;;x
shona;Gokomere;;;;;;;;;;;;;x
sinhala;Sinhalese;;;;;;;;;;;;;x
sinohellenic;Sinohellenic;;;;;;;;;;;;;x
slovakian;Slovakian;;;;;;;;;;;;;x
slovene;Slovene;;;;;;;;;;;;;x
sorbian;Sorbian;;;;;;;;;;;;;x
south_slavic;South Slavic;;;;;;;;;;;;;x
suevic;Suevic;;;;;;;;;;;;;x
swahili;Swahili;;;;;;;;;;;;;x
swedish;Swedish;;;;;;;;;;;;;x
syroaramean;Aramean;;;;;;;;;;;;;x
taihu;Taihu;;;;;;;;;;;;;x
tamilar;Tamil;;;;;;;;;;;;;x
telugu;Telungu;;;;;;;;;;;;;x
teutonic;Theudish;;;;;;;;;;;;;x
tocharian;Sogdian;;;;;;;;;;;;;x
tswana;Tswana;;;;;;;;;;;;;x
tuluva;Tuluva;;;;;;;;;;;;;x
turkish;Turkish;;;;;;;;;;;;;x
uyghur;Uyghur;;;;;;;;;;;;;x
vandal;Vandal;;;;;;;;;;;;;x
varangian;Varangian;;;;;;;;;;;;;x
viethellenic;Viethellenic;;;;;;;;;;;;;x
visigothic;Visigothic;;;;;;;;;;;;;x
welsh;Welsh;;;;;;;;;;;;;x
west_germanic;West Germanic;;;;;;;;;;;;;x
west_slavic;West Slavic;;;;;;;;;;;;;x
xhosa;Xhosa;;;;;;;;;;;;;x
xianbei;Xianbei;;;;;;;;;;;;;x
xiang;Xiang;;;;;;;;;;;;;x
xiongnu;Xiongnu;;;;;;;;;;;;;x
xuan;Xuan;;;;;;;;;;;;;x
yaka;Yaka;;;;;;;;;;;;;x
yue;Yue;;;;;;;;;;;;;x
yuehai;Yuehai;;;;;;;;;;;;;x
yuexi;Yuexi;;;;;;;;;;;;;x
zande;Zande;;;;;;;;;;;;;x
zhao;Zhao Chinese;;;;;;;;;;;;;x
zhongyuan;Zhongyuan;;;;;;;;;;;;;x
zulu;Zulu;;;;;;;;;;;;;x
