#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x



##Vanilla rumors
EVTDESAmnm.9600;[relic_hunter.GetTitledFirstName] has returned and brought with [relic_hunter.GetHerHim] a beautiful shield. [relic_hunter.GetSheHeCap] has proof that it originates from the Maccabean Revolt from ages past that purged the Hellenic influences on the Jewish people.;;;;;;;;;;;;;x
EVTDESAmnm.9601;[relic_hunter.GetJobTitle] [relic_hunter.GetFirstName] has finally returned from [relic_hunter.GetHerHis] travels, and has brought with [relic_hunter.GetHerHim] a small snake figurine. [relic_hunter.GetSheHeCap] tells me that this is a remnant of the old pagan ways of Judea.;;;;;;;;;;;;;x
EVTDESAmnm.9602;[relic_hunter.GetTitledFirstName] has returned and brought with [relic_hunter.GetHerHim] a pair of golden scales. [relic_hunter.GetSheHeCap] says that these are the Goddess Laima's Scales of Fate, and with them you can control fate itself!;;;;;;;;;;;;;x
EVTDESAmnm.9603;Returning from [relic_hunter.GetHerHis] travels, [relic_hunter.GetTitledFirstName] has brought with [relic_hunter.GetHerHim] some metal chains. [relic_hunter.GetSheHeCap] claims that these were chains that bound Alpamysh, who was imprisoned by his foes. Alpamysh was later able to escape imprisonment with the aid a shepard who was later installed as Khan by the freed Alpamysh.;;;;;;;;;;;;;x





####artifact events

#Christian

EVTDESAaaoa.200;Your vassal [From.GetFullName] the current [From.GetKingQueen] of Italy has come to you with a request. [From.GetSheHeCap] asks for the Iron Crown of Lombardy to be returned to [From.GetHerHim] as [From.GetSheHe] is the rightful [From.GetKingQueen] of the Lombards.;;;;;;;;;;;;;x
EVTOPTAaaoa.200; It is [From.GetHerHis] right;;;;;;;;;;;;;x
EVTOPTBaaoa.200; The crown shall stay with the Emperor;;;;;;;;;;;;;x
EVTDESAaaoa.201; Your liege has accepted your request, The Iron Crown of Lombardy is now in your possession.;;;;;;;;;;;;;x
EVTDESBaaoa.201; Your liege has refused you the Iron Crown. An insult that shall not be forgotten!;;;;;;;;;;;;;x
EVTOPTAaaoa.201; I am thankful;;;;;;;;;;;;;x
EVTOPTBaaoa.201; Curse [From.GetHerHim]!;;;;;;;;;;;;;x

#Muslim

#Jewish

EVTDESAaaoa.603;[From.GetTitledName] has accused you of the unrightful possession of the Priestly Breastplate. According to the Jewish faith only he has the right to wear it, how will you respond?;;;;;;;;;;;;;x
EVTOPTAaaoa.603;I shall return it at once;;;;;;;;;;;;;x
EVTOPTBaaoa.603;But it looks so good on me;;;;;;;;;;;;;x
EVTDESAaaoa.604;With the declaration of the Kingdom of Israel, Jews from all over the world flock to your realm. One of them hands you Hezekiah's Hammer for granting him and his family a safe haven.;;;;;;;;;;;;;x
EVTOPTAaaoa.604;Thank you, my friend;;;;;;;;;;;;;x
EVTDESAaaoa.605;Years have passed since the Third Temple has been built. As you survey the building you notice some workers clearing away all the junk from the construction site. A rusty shield catches your eye as the men load it into the cart.;;;;;;;;;;;;;x 
EVTOPTAaaoa.605;Wait, Let me have a look at that;;;;;;;;;;;;;x 
EVTDESAaaoa.606;With the Holy Land under your control, you can allow foreign pilgrims to freely enter Jerusalem. This will surely please them, until the inevitable Jihad or Crusade is called against you.;;;;;;;;;;;;;x 
EVTOPTAaaoa.606;Let the Christians in;;;;;;;;;;;;;x 
EVTOPTBaaoa.606;Let the Muslims in;;;;;;;;;;;;;x 
EVTOPTCaaoa.606;Let them both in;;;;;;;;;;;;;x 
EVTDESAaaoa.607;"Why are these infidels entering my lands?!" you yell at your council. Since becoming zealous, you no longer have the patience for these people.;;;;;;;;;;;;;x 
EVTDESBaaoa.607;With Jerusalem under attack, getting the pilgrims killed will likely make you the most hates ruler around.;;;;;;;;;;;;;x 
