#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_apollos;Apollos;;;;;;;;;;;;;x
b_halos;Halos;;;;;;;;;;;;;x
b_pteleon;Pteleon;;;;;;;;;;;;;x
c_pteleon;Pteleon;;;;;;;;;;;;;x
PROV2655;Pteleon;;;;;;;;;;;;;x
PROV2657;Phylake;;;;;;;;;;;;;x
b_larissa_phthiotis;Larissa-Phthiotis;;;;;;;;;;;;;x
b_argos_phthiotis;Argos-Phthiotis;;;;;;;;;;;;;x
b_helladion;Helladion;;;;;;;;;;;;;x
b_vrinena;Vrinena;;;;;;;;;;;;;x
b_herennion;Herennion;;;;;;;;;;;;;x
b_argitheia;Argitheia;;;;;;;;;;;;;x
b_old_temessea;Old Temessea;;;;;;;;;;;;;x
b_temessea;Temessea;;;;;;;;;;;;;x
b_phylake;Phylake;;;;;;;;;;;;;x
c_phylake;Phylake;;;;;;;;;;;;;x
