#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# Decisions
create_elective_league;Found an Elective League;;Eine Wahlliga erstellen;;;;;;;x
create_elective_league_desc;Create a new titular, elective title. Requires two equal-rank cofounders, who will become my new vassals.;;Einen neuen titularen Wahltitel erstellen. Benötigt zwei Mitgründer.;;;;;;;x
create_elective_league_effect;Tally partners who are adjacent to my realm, including through other partners.;;An mein Reich grenzende Mitgründer zählen.;;;;;;;x

# Targeted Decisions
vassalize_new_elector;Vassalize New Elector;;Wähler vassalisieren;;;;;;;x
vassalize_new_elector_desc;We can vassalize allies who would become electors in our league.;;Wir können Verbündete vassalisieren wenn sie Wähler in der Liga werden.;;;;;;;x

# Opinion modifier origins (appears as hover reason for non-aggression pact)
VOLUNTARY_LIEGE;Voluntary liege;;Freiwilliger Lehnsherr;;;;;;;x
VOLUNTARY_VASSAL;Voluntary vassal;;Freiwilliger Vassal;;;;;;;x

# Scripted triggers
ADJACENT_REALM;Adjacent realm\n;;Angrenzendes Reich\n;;;;;;;x
LOWER_RANK_THAN_US;Lower rank than us\n;;Niederigerer Rang als wir\n;;;;;;;x
SAME_RANK;Same rank\n;;Gleicher Rang\n;;;;;;;x
CAN_BE_ELECTOR;High enough rank to vote in our elections\n;;Rank ist hoch genug um ein Wähler zu sein\n;;;;;;;x
SAME_RELIGION_GROUP;Same religion group\n;;Gleiche Religionsgruppe\n;;;;;;;x
ELECTIVE_LEAGUE_ELECTIVE_REQUIREMENT;Conclave DLC, or religion allows Feudal Elective succession\n;;Conclave DLC oder religion die Wahlen erlaubt\n;;;;;;;x
ELECTIVE_LEAGUE_ALLY_ETC;Is Ally\n;;Verbündeter;;;;;;;x
ELECTIVE_LEAGUE_SAME_GOVERNMENT_TYPE;Same government type;; Gleiche Regierungsform;;;;;;;x
ELECTIVE_LEAGUE_NO_ELECTIVE_LEAGUE;Not already in Elective League or invited;;Nicht in Wahlbund oder eingladen;;;;;;;x

ElectiveLeagues_event_31_DESC;After a lot of consideration you have decided that it's time to change the state of your region. Your closest allies and you shall band together and unite under one banner, one crown, and be even more interdependent than you have ever been. \n\nYou shall found an Elective League, with you as its first ruler.\n\nBe it for your own empowerment, self-defence or a wish for peace: Such a thing has rarely been attempted and succeeded.;;Endlich habe ich die Entschlossenheit gefunden meine Verbündeten zu einem Wahlbund einzuladen.\n Sei es für Ermächtigung, Selbstverteidigung oder Friedenswille:\n Eine solche Liga wurde selten versucht und die Zeiten überlebt.;;;;;;x
ElectiveLeagues_event_32_DESC;[From.GetBestName] has joined our league!;;[From.GetBestName] ist unserer Liga beigetreten!;;;;;;;x
ElectiveLeagues_event_33_DESC;A messenger of [From.GetTitledNameWithNick] of has arrived at your gates.\nThey tell you that [From.GetDynName] is trying to found an Elective League, with [From.GetHerHim] as the first ruler. [From.GetSheHeCap] has invited you to join [From.GetHerHim] and become one of his co-founders.;;[From.GetBestName] will eine neues Reich als Wahlbund aufbauen. \nMan hat uns dazu eingeladen. \nEine Wahllige erhöht unsere gemeinsame Macht, allerdings werden wir ein Vassal in dem neuen Wahlreich.\n Nehmt ihr die Einladung an?;;;;;;;x
ElectiveLeagues_event_34_DESC;[From.GetBestName] has refused the offer to join our league.;;[From.GetBestName] hat unser Angebot abgelehnt.;;;;;;;x
ElectiveLeagues_event_35_DESC;[From.GetBestName] has accepted the offer to join our league.;;[From.GetBestName] hat unser Angebot angenommen.;;;;;;;x
