adopt_roman_imperialism_decision;Adopt Roman Imperialism;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adopt_roman_imperialism_decision_desc;Adopt a system of Roman Imperialism in which executive powers are heavily consolidated by the Emperor and a strong emphasis is placed on urbanization.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
succ_byzantine_elective2;Imperial Elective;Succession impériale élective;Kaiserwahl;;Electiva imperial;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
succ_byzantine_elective2_desc;The Imperial Council and the Commanders of the Imperial Army can influence the selection of the new Emperor. Unlike Feudal Electors, each member of the Imperial Court has a different voting strength, based on his prestige, minor titles and attributes, making some electors more influential than others. The Emperor wields the most influence, unless disfigured, deformed or underage. Close relatives of the ruling Emperor, Commanders, Marshals and Claimants are all viable candidates for succession.;Le Conseil impérial et les commandants de l'armée impériale peuvent influencer le choix du nouvel empereur. Contrairement aux électeurs féodaux, chaque membre de la cour impériale a son propre nombre de voix, basé sur son prestige, ses titres mineurs et ses compétences, ce qui rend certains électeurs plus influents que d'autres. L'empereur exerce le plus d'influence, à moins d'être défiguré, déformé ou mineur. Les proches parents de l'empereur, des commandants, des maréchaux et des prétendants au trône sont tous des candidats viables à la succession.;Der kaiserliche Rat und die Befehlshaber der kaiserlichen Armee können die Wahl des neuen Kaisers beeinflussen. Im Gegensatz zu Feudalwahlen hat jedes Mitglied des kaiserlichen Hofes eine Stimmstärke, die auf seinem Prestige, seinen Titeln und Attributen basiert, wodurch einige Wähler einflussreicher als andere sind. Der Kaiser übt den größten Einfluss aus, es sei denn, er ist entstellt, deformiert oder minderjährig. Nahe Verwandte des herrschenden Kaisers, Kommandanten, Marschälle und Anspruchsteller sind alles geeignete Kandidaten für die Nachfolge.;;El Consejo Imperial y los comandantes del ejército imperial pueden influir en la selección del nuevo emperador. A diferencia de los electores feudales, los miembros de la corte imperial tienen distinta fuerza de votos, dependiendo de su prestigio, títulos y atributos menores, así que algunos electores sean más influyentes que otros. El emperador ejerce la mayor influencia, a menos que esté desfigurado, deformado o sea menor de edad. Parientes cercanos del emperador reinante, comandantes, mariscales y pretendientes son todos candidatos válidos para la sucesión.;;;;;;x
impgovunrestricted_text;Unrestricted;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impgovunrestricted_desc;The Imperial Government type will become available immediately upon passing the Imperial Administration law.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impgovrestricted_text;Restricted;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impgovrestricted_desc;In addition to the Imperial Administration law, you will also need to have Imperial Elective Succession active to access the Imperial Government type.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impgoverulename;Adopting Roman Imperialism;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roman_imperialtwo_government_desc;An Imperial government differs from its feudal counterpart by placing a larger focus on urban areas and a centralized court whose influence deeply affects internal politics. Councilors and Commanders hold a varying degree of influence, depending on their prestige and competence, which they can use to support or oppose the official heir of the Empire...;Un gouvernement impérial diffère de son homologue féodal en se concentrant davantage sur les zones urbaines et sur une cour centralisée dont l'influence affecte profondément la politique interne. Les conseillers et les commandants exercent une influence variable, en fonction de leur prestige et de leur compétence, qu'ils peuvent utiliser pour soutenir ou s'opposer à l'héritier officiel de l'empire...;Eine kaiserliche Regierung unterscheidet sich von ihrem feudalen Gegenstück darin, dass sie einen größeren Fokus auf Städte und einen zentralisierten Hof legt, dessen Einfluss die Innenpolitik stark beeinflusst. Ratsmitglieder und Kommandanten haben je nach Prestige und Kompetenz einen unterschiedlichen Einfluss, den sie wiederum dafür nutzen können den offiziellen Erben des Kaiserreiches entweder zu unterstützen oder zu bekämpfen.;;Un gobierno imperial difiere de su homólogo feudal al centrarse más en las áreas urbanas y tener una corte centralizada cuya influencia afecta profundamente a la política interna. Consejeros y comandantes tienen un grado variable de influencia, dependiendo de su prestigio y competencia, que pueden usar para apoyar u oponerse al heredero oficial del Imperio…;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
roman_imperialtwo_government;Imperial;Impérial;Kaiserlich;;Imperial;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gov_roman_imperialtwo_governmentweak;Imperial Militaristic Republic;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gov_roman_imperialtwo_governmentmedium;Imperial Militaristic Oligarchy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gov_roman_imperialtwo_governmentabsolute;Imperial Militaristic Autocracy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
