#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CODE;ENGLISH;;;;;;;;;;;;;x






# ################
# character_events
# ################

# -------
# General
# -------

EVTOPT_kuru_ec_charevt_dismiss_thats_interesting_news;That's interesting news....;;;;;;;;;;;;;x
EVTOPT_kuru_ec_charevt_dismiss_thats_interesting_news_desc;That's interesting news....;;;;;;;;;;;;;x

# -----------------
# Using Mods Events
# -----------------

EVTOPT_kuru_ec_charevt_yes;Yes!;;;;;;;;;;;;;x
EVTOPT_kuru_ec_charevt_yes_desc;Other decisions will take this modification into account.;;;;;;;;;;;;;x

EVTOPT_kuru_ec_charevt_no;No.;;;;;;;;;;;;;x
EVTOPT_kuru_ec_charevt_no_desc;Other decisions will ignore this modification.;;;;;;;;;;;;;x

EVTOPT_kuru_ec_charevt_nevermind;Nevermind.;;;;;;;;;;;;;x
EVTOPT_kuru_ec_charevt_nevermind_desc;On second thought...;;;;;;;;;;;;;x

EVTTITLE_kuru_ec_charevt_0001;Faiterial's Buildings Mod;;;;;;;;;;;;;x
EVTDESC_kuru_ec_charevt_0001;Is the realm using the Faiterial's Buildings Mod?;;;;;;;;;;;;;x

EVTTITLE_kuru_ec_charevt_0002;New Buildings and Effects Mod;;;;;;;;;;;;;x
EVTDESC_kuru_ec_charevt_0002;Is the realm using the New Buildings and Effects Mod?;;;;;;;;;;;;;x

EVTTITLE_kuru_ec_charevt_0003;Peachy's Buildings Mod;;;;;;;;;;;;;x
EVTDESC_kuru_ec_charevt_0003;Is the realm using the Peachy's Buildings Mod?;;;;;;;;;;;;;x

EVTTITLE_kuru_ec_charevt_0004;Your Personal Castle Mod;;;;;;;;;;;;;x
EVTDESC_kuru_ec_charevt_0004;Is the realm using the Your Personal Castle Mod?;;;;;;;;;;;;;x

EVTTITLE_kuru_ec_charevt_0005;Birth of Mystic Descent;;;;;;;;;;;;;x
EVTDESC_kuru_ec_charevt_0005;A child was born of mystic descent!;;;;;;;;;;;;;x

EVTTITLE_kuru_ec_charevt_0010;Spawn Army;;;;;;;;;;;;;x
