#CODE;ENGLISH;;;;;;;;;;;;;x

## Titles ##
e_third_rome;Third Roman Empire;;;;;;;;;;;;;x
e_argead_empire;Argead Empire;;;;;;;;;;;;;x
e_roman_republic;Roman Republic;;;;;;;;;;;;;x
k_african_exarchate;Exarchate of Africa;;;;;;;;;;;;;x

## Title Adjectives ##
e_third_rome_adj;Roman;;;;;;;;;;;;;x
e_argead_empire_adj;Hellenic;;;;;;;;;;;;;x
e_roman_republic_adj;Roman;;;;;;;;;;;;;x
k_african_exarchate_adj;African;;;;;;;;;;;;;x

## Cultures and Cultural FOA##
pontic;Pontic;;;;;;;;;;;;;x
african_romance;African Romance;;;;;;;;;;;;;x
latinokratian;Latinokratian;;;;;;;;;;;;;x
frankokratian;Frankokratian;;;;;;;;;;;;;x

## Decisions ##
romanise_hre;Romanise the HRE;;;;;;;;;;;;;x
romanise_hre_desc;Many centuries ago, Rome was felled by Germanic barbarians. You have been crowned Emperor of all the Romans, and yet so many of your subjects resemble these barbarians more so than the noble Romans of old. You will change this - and finally be both Holy AND Roman!;;;;;;;;;;;;;x
romanise_hre_desc_extra;This will upset your Germanic vassals.;;;;;;;;;;;;;x
adopt_roman_culture_hre;Adopt Roman Culture;;;;;;;;;;;;;x
adopt_roman_culture_hre_desc;The Romans were the apex of civilisation. I should live as they did.;;;;;;;;;;;;;x
unify_roman_empire;Unite the Roman Pretenders;;;;;;;;;;;;;x
unify_roman_empire_desc;Since the fall of Rome in the West, both the Empire of the Greeks in Constantinople and the so-called 'Holy Roman Empire' have claimed to be the true successor to the Roman legacy. Should someone hold both titles at once, they would be inarguably Emperor of all the Romans, and their realm inarguably the Roman Empire!;;;;;;;;;;;;;x
form_third_rome;Form the Third Rome;;;;;;;;;;;;;x
form_third_rome_desc;Our Orthodox brethren in Constantinople have fallen. It stands to us now to take up the mantle of Rome, as we are the foremost bastion of Orthodoxy.;;;;;;;;;;;;;x
select_tsar;Select Tsar;;;;;;;;;;;;;x
select_tsar_desc;Select this character to be Tsar of the Third Rome. This will grant them independence and make you their suzerain, so ensure you've granted them all the land and vassals you want them to have beforehand.;;;;;;;;;;;;;x
form_latin_empire;Form Latin Empire;;;;;;;;;;;;;x
